Canal,Marca,Origem Tráfego,MDP,Parcelamento,Receita,Pedidos,Mês/Ano,Custo Parcelamento,Volume Venda
3P,ACOM,BUSCA PPC,AME,A VISTA,569748.5291228972,3983.256299448,9/2020,0.0,2269454417.730013
1P,ACOM,TRAFEGO DIRETO,PIX,A VISTA,1448811.1223960582,39880.373944668005,10/2021,0.0,57779129336.34897
3P,SUBA,TRAFEGO DIRETO,AME,A VISTA,89448.35023806996,669.073493619,12/2020,0.0,59847520.192241386
3P,ACOM,TRAFEGO DIRETO,BOLETO,A VISTA,123527.39340674208,917.269307136,4/2022,0.0,113307886.56251842
1P,ACOM,BUSCA ORGANICA,CARTAO,A VISTA,63393.832593265644,1564.3731352680002,2/2020,0.0,99171608.65058172
3P,ACOM,AFILIADOS,CARTAO,A PRAZO,230912.2161699188,1425.421828842,2/2020,1154.561080849594,329147313.47488487
3P,ACOM,TRAFEGO DIRETO,BOLETO,A VISTA,539296.6183593461,4528.729755648,11/2021,0.0,2442328642.684314
1P,SHOP,AFILIADOS,CARTAO,A PRAZO,3400.8724594708806,33.1551777,10/2021,17.004362297354405,112756.5307287931
3P,SUBA,AFILIADOS,AME,A VISTA,97875.52639373922,413.610130323,6/2021,0.0,40482309.22714671
3P,SHOP,TRAFEGO DIRETO,PIX,A VISTA,29813.961537839787,183.870356572,1/2022,0.0,5481903.738786495
1P,SUBA,BUSCA PPC,CARTAO,A PRAZO,866.9003995002,9.28059522,8/2020,4.334501997501,8045.351703817647
1P,ACOM,BUSCA ORGANICA,AME,A VISTA,406054.6601076406,11812.782295104002,4/2022,0.0,4796635299.76401
3P,SUBA,AFILIADOS,CARTAO,A PRAZO,45609.65638455241,213.38843124000005,3/2021,228.04828192276204,9732573.02529509
1P,ACOM,BUSCA ORGANICA,PIX,A VISTA,3150.65516411229,54.479266656,12/2020,0.0,171645.38282677688
1P,SHOP,BUSCA ORGANICA,CARTAO,A PRAZO,332.65252889964006,2.6524142160000004,10/2021,1.6632626444982004,882.3322966417562
3P,ACOM,AFILIADOS,BOLETO,A VISTA,163579.6434058689,1412.2132760130005,7/2020,0.0,231009344.1032405
3P,SOUB,BUSCA ORGANICA,PIX,A VISTA,326.82729224495995,1.7018709239999998,8/2021,0.0,556.2178658413479
1P,SHOP,BUSCA PPC,AME,A VISTA,813.3328038903599,5.568357132,8/2020,0.0,4528.927519232443
1P,SHOP,TRAFEGO DIRETO,PIX,A VISTA,1548.63446600304,37.441160328,8/2021,0.0,57982.67133108648
1P,SUBA,COMPARADORES,CARTAO,A PRAZO,414.89643738024,2.325131346,1/2021,2.0744821869012,964.688711896522
1P,SUBA,TRAFEGO DIRETO,AME,A VISTA,225.49123793508,2.325131346,1/2021,0.0,524.2967455711989
1P,SHOP,COMPARADORES,CARTAO,A PRAZO,200.38040423424005,2.8990220520000003,9/2020,1.0019020211712002,580.9072106637361
3P,SHOP,BUSCA PPC,BOLETO,A VISTA,49845.39850220381,372.02101536,1/2021,0.0,18543535.761813685
1P,SUBA,AFILIADOS,CARTAO,A PRAZO,2086.6531538113804,11.961477414000004,9/2021,10.433265769056902,24959.4545701667
1P,SUBA,BUSCA ORGANICA,BOLETO,A VISTA,262.2120439803,3.122501268,2/2020,0.0,818.7574398133586
3P,SHOP,TRAFEGO DIRETO,CARTAO,A PRAZO,92539.43354435358,328.92290984000005,3/2022,462.6971677217679,30438339.75635409
1P,SUBA,COMPARADORES,CARTAO,A PRAZO,329.52700595052,2.948391768,11/2021,1.6476350297526,971.5747116782002
3P,ACOM,BUSCA PPC,BOLETO,A VISTA,799388.083147652,7701.40417116,11/2020,0.0,6156410717.928924
