Canal,Departamento,AFILIADOS,BUSCA PPC,COMPARADORES,Mês/Ano,CAT
1P,TELEFONIA,-0.004998496301506563,-0.0108448853690795,-0.0029338078059545666,1/2020,-0.01877718947654063
1P,ELETRODOMÉSTICOS,-0.004225129275168088,-0.014732560155812511,-0.004473698149626395,1/2020,-0.023431387580606994
1P,ELETRÔNICOS,-0.006406097195747955,-0.016894368527861074,-0.0054689534471026435,1/2020,-0.02876941917071167
1P,PCS,-0.0034513689168710546,-0.010866198925511177,-0.005582358660059144,1/2020,-0.019899926502441375
1P,CLIMATIZAÇÃO,-0.0027707595880421074,-0.00662433721187619,-0.0028921687385385212,1/2020,-0.012287265538456818
1P,ELETROPORTÁTEIS,-0.003693000477531477,-0.01546396200224852,-0.002473371781898784,1/2020,-0.02163033426167878
1P,INFORMÁTICA E ACESSÓRIOS,-0.004803758732780948,-0.018366521059007004,-0.006336453154949245,1/2020,-0.029506732946737196
1P,UTILIDADES DOMÉSTICAS,-0.0051350897677340185,-0.01627454041488295,-0.0014213424848361998,1/2020,-0.022830972667453167
1P,AUTOMOTIVO,-0.0009689756572297658,-0.007296734644504876,0.0,1/2020,-0.008265710301734642
1P,CONSOLES & GAMES,-0.006597837305770881,-0.016129605153246844,-0.001520372769356551,1/2020,-0.024247815228374277
1P,ESPORTE & LAZER,-0.002413483382879705,-0.013372156040718768,-0.0013281417880936035,1/2020,-0.017113781211692075
1P,PC GAMER,-0.007047959737329496,-0.023216277102093917,-0.002780380097758409,1/2020,-0.033044616937181824
1P,BELEZA & PERFUMARIA,-0.0002594980602347384,-5.396439881150167e-05,0.0,1/2020,-0.00031346245904624007
1P,MÓVEIS,-0.0037272160521321885,-0.009632370749572615,-0.00016145992685933763,1/2020,-0.013521046728564141
1P,INSTRUMENTOS MUSICAIS,0.007263986836584923,0.0,0.0,1/2020,0.007263986836584923
1P,TELEFONIA,-0.005044659633127323,-0.012111899885166219,-0.0031772253268044855,2/2020,-0.020333784845098027
1P,ELETRODOMÉSTICOS,-0.004991526346456957,-0.017479713160778503,-0.0066601876164193935,2/2020,-0.02913142712365485
1P,ELETRÔNICOS,-0.011277908974756832,-0.022600598670121586,-0.008072266349599896,2/2020,-0.041950773994478316
1P,PCS,-0.003583122935019312,-0.012184732943564985,-0.004269101179309286,2/2020,-0.020036957057893583
1P,CLIMATIZAÇÃO,-0.003011593929770324,-0.006883186689340606,-0.004292637935730752,2/2020,-0.014187418554841682
1P,ELETROPORTÁTEIS,-0.004264839481867056,-0.01727895708121982,-0.0035223495585732585,2/2020,-0.025066146121660134
1P,INFORMÁTICA E ACESSÓRIOS,-0.006592498210833013,-0.023976736359074078,-0.005246469479504206,2/2020,-0.0358157040494113
1P,UTILIDADES DOMÉSTICAS,-0.006067736167390651,-0.017869896558704423,-0.0021094359060494896,2/2020,-0.026047068632144562
1P,AUTOMOTIVO,-0.0012073570271788593,-0.030990798760599618,0.0,2/2020,-0.03219815578777848
1P,CONSOLES & GAMES,-0.008184784592581406,-0.020866881470363474,-0.003526568193902125,2/2020,-0.032578234256847007
1P,ESPORTE & LAZER,-0.0029035869020380563,-0.014874530514113164,-0.0014930774928796427,2/2020,-0.019271194909030863
1P,PC GAMER,-0.007993393312830709,-0.025571750587973112,-0.0046295204151466565,2/2020,-0.03819466431595048
