Departamento,Canal,Marca,Origem Tráfego,Visita,Mês/Ano
PCS,1P,ACOM,TRAFEGO DIRETO,413050.638641676,2/2022
PCS,1P,ACOM,COMPARADORES,121072.14291663599,5/2020
PCS,3P,SOUB,BUSCA PPC,66.73808419199999,6/2021
PCS,3P,SUBA,BUSCA PPC,157287.094373976,11/2021
PCS,1P,SHOP,BUSCA PPC,111225.893580126,6/2020
PCS,1P,SOUB,AFILIADOS,735.3794354279999,10/2020
PCS,3P,ACOM,BUSCA ORGANICA,120325.886378544,4/2022
PCS,1P,SUBA,TRAFEGO DIRETO,95774.396899944,11/2020
PCS,3P,SOUB,AFILIADOS,152.097815268,11/2020
PCS,3P,SOUB,TRAFEGO DIRETO,371.3866296,2/2022
PCS,1P,SUBA,AFILIADOS,134593.630531332,11/2021
PCS,1P,SUBA,AFILIADOS,23367.027756715997,2/2022
PCS,1P,SOUB,AFILIADOS,6004.960012464,4/2022
PCS,3P,ACOM,BUSCA ORGANICA,308600.911094196,11/2020
PCS,3P,SUBA,TRAFEGO DIRETO,73558.627354758,9/2020
PCS,1P,SHOP,TRAFEGO DIRETO,31899.881686176,4/2022
PCS,1P,SOUB,AFILIADOS,1722.614983628,2/2022
PCS,1P,B2B,AFILIADOS,72.91057020600002,9/2021
PCS,1P,ACOM,TRAFEGO DIRETO,354638.067218064,4/2022
PCS,3P,SOUB,TRAFEGO DIRETO,1124.085798924,9/2021
PCS,3P,SHOP,AFILIADOS,3477.8916087239995,10/2021
PCS,3P,SUBA,BUSCA ORGANICA,30864.92561802,8/2021
PCS,3P,SUBA,BUSCA PPC,163136.99822904,3/2021
PCS,1P,SHOP,AFILIADOS,6413.483351459999,10/2020
PCS,3P,SUBA,TRAFEGO DIRETO,60719.31410136,3/2021
PCS,1P,ACOM,AFILIADOS,52484.14332076799,1/2021
PCS,1P,ACOM,BUSCA PPC,657432.3182007839,1/2022
PCS,3P,SUBA,AFILIADOS,57045.91904794801,9/2021
PCS,3P,ACOM,COMPARADORES,40384.04540556299,1/2021
PCS,3P,SOUB,BUSCA PPC,2934.2198765580006,9/2021
PCS,3P,ACOM,BUSCA PPC,752839.7295258449,6/2020
PCS,3P,SUBA,AFILIADOS,35726.213755439996,6/2020
PCS,3P,SHOP,TRAFEGO DIRETO,35106.436141023,7/2020
PCS,3P,SUBA,BUSCA PPC,97473.39497973002,9/2021
PCS,3P,ACOM,BUSCA PPC,412961.485989957,7/2021
PCS,1P,SHOP,AFILIADOS,32170.743305064,4/2020
PCS,1P,ACOM,COMPARADORES,25875.376080192,10/2021
PCS,1P,SHOP,AFILIADOS,16751.954320569,6/2021
PCS,3P,ACOM,AFILIADOS,46880.248868448,7/2021
PCS,3P,ACOM,COMPARADORES,103657.53836322599,5/2020
PCS,1P,SHOP,BUSCA ORGANICA,11787.951401751,7/2020
PCS,3P,SHOP,TRAFEGO DIRETO,49854.114064559995,8/2020
PCS,3P,SOUB,BUSCA PPC,44.448676608,11/2020
PCS,1P,ACOM,BUSCA PPC,558643.3668317698,1/2021
PCS,1P,SOUB,AFILIADOS,15014.741262480002,4/2021
PCS,3P,B2B,AFILIADOS,583.61107672,3/2022
PCS,1P,ACOM,BUSCA ORGANICA,177894.552984048,4/2021
PCS,3P,SHOP,COMPARADORES,20934.385850030998,5/2021
PCS,1P,ACOM,TRAFEGO DIRETO,269933.60755940696,5/2021
PCS,3P,ACOM,COMPARADORES,24366.676768055997,2/2022
PCS,1P,ACOM,BUSCA PPC,263448.845441208,9/2020
PCS,1P,ACOM,TRAFEGO DIRETO,609475.9129578209,5/2020
PCS,3P,ACOM,COMPARADORES,64090.391337492,8/2021
PCS,1P,SUBA,COMPARADORES,42876.275176404,9/2020
PCS,1P,SUBA,AFILIADOS,25814.951855424002,4/2021
PCS,3P,SHOP,BUSCA ORGANICA,9334.18395728,2/2022
PCS,1P,SHOP,BUSCA ORGANICA,12473.09321748,3/2021
PCS,1P,SUBA,BUSCA ORGANICA,11573.112548087998,10/2021
PCS,1P,SHOP,BUSCA ORGANICA,16574.207879424,8/2020
PCS,3P,SHOP,COMPARADORES,7900.283602983,7/2021
PCS,1P,ACOM,BUSCA PPC,692479.054165053,5/2020
PCS,1P,SHOP,COMPARADORES,463.951162275,7/2020
PCS,3P,B2B,TRAFEGO DIRETO,706.205668308,11/2021
PCS,1P,SHOP,TRAFEGO DIRETO,19282.032488628,8/2021
PCS,3P,SOUB,BUSCA PPC,233.354598932,2/2022
PCS,3P,ACOM,TRAFEGO DIRETO,279522.84732897603,4/2021
PCS,3P,B2B,COMPARADORES,6.068607290999999,12/2021
PCS,3P,SOUB,AFILIADOS,5.98646661,7/2020
PCS,3P,B2B,AFILIADOS,14.236487467999998,2/2022
PCS,3P,SHOP,COMPARADORES,2590.251590121,5/2020
PCS,1P,ACOM,BUSCA PPC,682230.0274232801,3/2022
PCS,1P,ACOM,COMPARADORES,64532.36908673099,6/2020
PCS,3P,B2B,TRAFEGO DIRETO,2566.7965306380006,9/2021
PCS,3P,SUBA,AFILIADOS,69807.18966837299,12/2021
PCS,3P,SOUB,AFILIADOS,2.767316256,4/2020
PCS,3P,SOUB,AFILIADOS,10.423021596,8/2020
PCS,3P,ACOM,BUSCA PPC,380926.25794884004,9/2020
PCS,3P,B2B,TRAFEGO DIRETO,2654.8360328000003,3/2022
PCS,3P,SUBA,COMPARADORES,48492.77611092,3/2021
PCS,1P,SHOP,COMPARADORES,12451.519020446998,6/2021
PCS,3P,SHOP,TRAFEGO DIRETO,31936.07526984,4/2022
PCS,1P,SHOP,TRAFEGO DIRETO,43440.748699452,8/2020
PCS,1P,B2B,TRAFEGO DIRETO,3136.3027168140006,9/2021
PCS,3P,SHOP,TRAFEGO DIRETO,25901.649103748998,12/2020
PCS,3P,ACOM,BUSCA ORGANICA,117820.87649415,7/2021
PCS,1P,SOUB,BUSCA PPC,1370.8309580669998,12/2021
PCS,3P,SHOP,COMPARADORES,732.2554786079999,10/2020
PCS,3P,SUBA,BUSCA PPC,127248.811570584,4/2020
PCS,1P,SHOP,BUSCA ORGANICA,8598.089846735998,6/2021
PCS,3P,SUBA,BUSCA ORGANICA,37077.577141842,12/2020
PCS,1P,SOUB,BUSCA PPC,1838.835125596,1/2022
PCS,1P,SUBA,COMPARADORES,26113.565999480998,7/2020
PCS,3P,B2B,BUSCA ORGANICA,2154.355588305,12/2021
PCS,3P,ACOM,BUSCA ORGANICA,235388.48385203996,5/2020
PCS,1P,SHOP,BUSCA PPC,33883.748875125,5/2021
PCS,3P,SUBA,AFILIADOS,31945.812620184002,4/2021
PCS,1P,SOUB,COMPARADORES,41.28103572,3/2021
PCS,1P,SOUB,AFILIADOS,5654.593415813999,12/2021
PCS,3P,SUBA,BUSCA PPC,89706.41297970299,6/2021
PCS,1P,SOUB,BUSCA PPC,105.03198685199999,8/2020
PCS,1P,SOUB,TRAFEGO DIRETO,5436.26809479,6/2020
PCS,1P,ACOM,COMPARADORES,26933.555821297996,1/2022
PCS,3P,ACOM,AFILIADOS,62203.042973304,4/2020
PCS,1P,SHOP,BUSCA PPC,41291.21460552,3/2021
PCS,3P,B2B,TRAFEGO DIRETO,2253.6978639559998,2/2022
PCS,1P,ACOM,COMPARADORES,38335.64119738199,1/2021
PCS,3P,SUBA,BUSCA ORGANICA,28860.864151405996,1/2022
PCS,1P,SOUB,BUSCA ORGANICA,4981.402551996,8/2020
PCS,1P,SOUB,BUSCA PPC,379.66997122799995,2/2021
PCS,1P,SOUB,TRAFEGO DIRETO,13546.96563984,3/2021
PCS,3P,SUBA,BUSCA ORGANICA,35125.77048407999,10/2020
PCS,3P,SHOP,AFILIADOS,4964.3735624,3/2022
PCS,1P,SOUB,BUSCA ORGANICA,2742.676116684,11/2021
PCS,3P,SOUB,BUSCA ORGANICA,340.981656624,4/2022
PCS,1P,SUBA,AFILIADOS,14011.908363977996,1/2021
PCS,3P,ACOM,TRAFEGO DIRETO,290784.74659896,3/2021
PCS,3P,SUBA,AFILIADOS,44195.068702943994,2/2021
PCS,3P,SHOP,COMPARADORES,14334.486366947998,12/2020
PCS,3P,SOUB,TRAFEGO DIRETO,1032.244714452,11/2021
PCS,1P,SOUB,BUSCA PPC,5779.343156799,7/2021
PCS,3P,SOUB,AFILIADOS,21.57943563,5/2020
PCS,1P,SOUB,BUSCA ORGANICA,221.54887246799998,5/2020
PCS,1P,ACOM,BUSCA ORGANICA,153065.570164446,7/2020
PCS,3P,ACOM,BUSCA PPC,698137.7285444939,12/2020
PCS,3P,ACOM,BUSCA ORGANICA,157581.17466553202,9/2020
PCS,1P,SOUB,BUSCA ORGANICA,34581.480129504,4/2021
PCS,3P,SHOP,BUSCA PPC,12214.726549367999,10/2021
PCS,1P,B2B,BUSCA ORGANICA,1637.815036536,2/2022
PCS,1P,SUBA,BUSCA PPC,154393.17270845998,11/2020
PCS,1P,SHOP,COMPARADORES,783.9750641579999,6/2020
PCS,3P,B2B,BUSCA PPC,747.597344088,11/2021
PCS,3P,ACOM,BUSCA PPC,435371.4918020279,10/2020
PCS,3P,SUBA,COMPARADORES,29377.264288596,11/2021
PCS,1P,SHOP,AFILIADOS,8853.855403806,1/2022
PCS,3P,SHOP,TRAFEGO DIRETO,30349.249891578,9/2020
PCS,3P,B2B,BUSCA PPC,2044.05392632,3/2022
PCS,3P,B2B,TRAFEGO DIRETO,2950.2786665999997,10/2021
PCS,1P,SUBA,AFILIADOS,27312.821188128,4/2022
PCS,1P,ACOM,TRAFEGO DIRETO,342095.217839522,1/2022
PCS,1P,SHOP,COMPARADORES,13917.791782272,11/2021
PCS,3P,SOUB,TRAFEGO DIRETO,458.563342326,7/2020
PCS,3P,ACOM,BUSCA PPC,546730.203903273,6/2021
PCS,1P,SOUB,BUSCA PPC,1.5163927739999998,6/2020
PCS,3P,SOUB,AFILIADOS,139.059558288,4/2022
PCS,3P,SUBA,BUSCA PPC,46112.500281431996,8/2021
PCS,3P,ACOM,COMPARADORES,71486.756176296,9/2020
PCS,1P,SHOP,COMPARADORES,1968.0445294559997,5/2020
PCS,3P,SOUB,BUSCA ORGANICA,45.491783219999995,6/2020
PCS,3P,SOUB,BUSCA ORGANICA,384.61681124399996,2/2021
PCS,1P,SHOP,BUSCA ORGANICA,8326.304905164001,9/2020
PCS,3P,SHOP,COMPARADORES,22395.198630744,4/2020
PCS,3P,ACOM,AFILIADOS,68302.10191483199,10/2021
PCS,1P,SOUB,BUSCA PPC,3779.363644212,8/2021
PCS,3P,ACOM,COMPARADORES,47426.17616480999,12/2020
PCS,1P,B2B,AFILIADOS,8.278335156,11/2021
PCS,1P,SOUB,BUSCA PPC,289.53274368,3/2021
PCS,1P,SHOP,COMPARADORES,9095.383724418,2/2021
PCS,1P,ACOM,TRAFEGO DIRETO,255847.41853248002,3/2021
PCS,1P,SHOP,BUSCA PPC,38630.922921512996,6/2021
PCS,1P,ACOM,BUSCA ORGANICA,82467.58306708599,1/2022
PCS,1P,SOUB,BUSCA PPC,171.19283373599998,10/2020
